1,8,270
2,5,90
3,5,90
4,8,180
5,1,270
6,5,90
7,5,90
8,5,0
9,13,270
10,7,0
11,7,0
12,5,0
13,13,270
14,7,0
15,7,0
16,8,90
17,10,0
18,14,0
19,14,0
20,1,180
21,4,180
22,14,0
23,14,0
24,5,0
25,13,270
26,7,0
27,7,0
28,5,0
29,13,270
30,7,0
31,7,0
32,5,270
33,14,180
34,2,0
35,2,0
36,13,180
37,11,270
38,2,0
39,2,0
40,7,270
41,6,270
42,9,180
43,9,180
44,7,270
45,6,270
46,9,180
47,9,180
48,5,270
49,14,180
50,2,0
51,2,0
52,13,180
53,2,0
54,2,0
55,2,0
56,7,270
57,6,270
58,9,180
59,14,90
60,7,270
61,6,270
62,9,180
63,9,180
64,8,0
65,1,0
66,13,0
67,13,0
68,10,90
69,4,270
70,13,0
71,13,0
72,14,270
73,11,0
74,6,0
75,6,0
76,14,270
77,11,0
78,6,0
79,6,0
80,1,90
81,4,0
82,11,90
83,11,90
84,4,90
85,3,0
86,11,90
87,11,90
88,14,270
89,11,0
90,6,0
91,6,0
92,14,270
93,11,0
94,6,0
95,6,0
96,5,270
97,14,180
98,2,0
99,2,0
100,13,180
101,11,270
102,2,0
103,2,0
104,7,270
105,6,270
106,9,180
107,9,180
108,7,270
109,6,270
110,9,180
111,9,180
112,5,270
113,14,180
114,2,0
115,2,0
116,13,180
117,11,270
118,2,0
119,2,0
120,7,270
121,6,270
122,9,180
123,9,180
124,7,270
125,6,270
126,9,180
127,9,180
128,5,180
129,5,180
130,7,90
131,7,90
132,14,90
133,14,90
134,7,180
135,7,90
136,2,90
137,2,90
138,9,270
139,9,270
140,2,90
141,2,90
142,9,270
143,9,270
144,13,90
145,13,90
146,6,90
147,6,90
148,11,180
149,11,180
150,6,90
151,6,90
152,9,180
153,2,90
154,9,270
155,9,270
156,2,90
157,2,90
158,9,270
159,9,270
160,7,180
161,7,180
162,6,90
163,6,90
164,6,180
165,6,180
166,9,0
167,9,0
168,9,90
169,9,90
170,12,0
171,12,0
172,9,90
173,9,90
174,12,0
175,12,0
176,7,180
177,7,180
178,9,0
179,9,0
180,6,180
181,6,180
182,9,0
183,9,0
184,9,90
185,9,90
186,12,0
187,12,0
188,9,90
189,9,90
190,12,0
191,12,0
192,5,180
193,5,180
194,7,90
195,7,90
196,14,90
197,14,90
198,7,90
199,7,90
200,2,90
201,2,90
202,9,270
203,9,270
204,2,90
205,2,90
206,9,270
207,9,270
208,13,90
209,13,90
210,6,90
211,6,90
212,11,180
213,11,180
214,6,90
215,6,90
216,2,90
217,2,90
218,9,270
219,9,270
220,2,90
221,2,90
222,9,270
223,9,270
224,7,180
225,7,180
226,9,0
227,9,0
228,6,180
229,6,180
230,9,0
231,9,0
232,9,90
233,9,90
234,12,0
235,12,0
236,9,90
237,9,90
238,12,0
239,12,0
240,7,180
241,7,180
242,9,0
243,9,0
244,6,180
245,6,180
246,9,0
247,9,0
248,9,90
249,9,90
250,12,0
251,12,0
252,9,90
253,9,90
254,12,0
255,12,0
